iter	Passed	Remaining
0	0	52
1	0	47
2	1	44
3	1	42
4	2	42
5	2	42
6	3	41
7	3	41
8	4	41
9	4	41
10	5	40
11	5	40
12	5	39
13	6	39
14	6	39
15	7	39
16	8	39
17	8	39
18	9	39
19	9	39
20	10	39
21	10	38
22	11	38
23	12	38
24	12	38
25	13	38
26	13	37
27	14	37
28	15	37
29	15	36
30	16	36
31	16	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
