iter	Passed	Remaining
0	132	132247
1	132	66307
2	133	44330
3	133	33323
4	134	26718
5	134	22320
6	135	19180
7	135	16825
8	136	14991
9	136	13524
10	137	12323
11	137	11332
12	138	10508
13	138	9780
14	139	9147
15	139	8596
16	140	8107
17	140	7673
18	141	7284
19	141	6934
20	141	6617
21	142	6330
22	142	6069
23	143	5829
24	143	5608
25	144	5403
26	144	5213
27	145	5038
28	145	4877
29	146	4726
30	146	4584
31	147	4451
32	147	4325
33	148	4206
34	148	4094
35	149	3990
36	149	3891
37	149	3796
38	150	3707
39	150	3621
40	151	3540
41	151	3464
42	152	3391
43	152	3319
44	153	3251
45	153	3187
46	154	3125
47	154	3065
48	155	3010
49	155	2956
50	156	2906
51	156	2855
52	157	2807
53	157	2760
54	158	2716
55	158	2672
56	158	2630
57	159	2590
58	160	2553
59	160	2515
60	161	2478
61	161	2442
62	161	2408
63	162	2374
64	162	2342
65	163	2310
66	163	2280
67	164	2251
68	164	2222
69	165	2194
70	165	2167
71	166	2141
72	166	2115
73	167	2090
74	167	2066
75	167	2042
76	168	2019
77	168	1996
78	169	1974
79	169	1952
80	170	1931
81	170	1911
82	170	1888
83	171	1869
84	171	1850
85	172	1832
86	172	1814
87	173	1796
88	173	1779
89	174	1762
90	174	1746
91	175	1734
92	176	1719
93	177	1706
94	177	1692
95	178	1677
96	178	1664
97	179	1651
98	179	1637
99	180	1624
100	181	1611
101	181	1598
102	182	1585
103	182	1573
104	183	1560
105	183	1547
106	183	1534
107	184	1522
108	184	1510
109	185	1499
110	185	1488
111	186	1477
112	186	1466
113	187	1455
114	187	1445
115	188	1434
116	188	1423
117	189	1413
118	189	1403
119	190	1393
120	190	1384
121	191	1375
122	191	1365
123	191	1356
124	192	1347
125	192	1338
126	193	1329
127	193	1320
128	194	1312
129	194	1303
130	195	1294
131	195	1286
132	196	1278
133	196	1270
134	196	1262
135	197	1254
136	197	1246
137	198	1238
138	198	1230
139	199	1223
140	199	1215
141	199	1207
142	200	1200
143	200	1193
144	201	1186
145	201	1179
146	202	1172
147	202	1166
148	203	1159
149	203	1152
150	203	1146
151	204	1140
152	204	1134
153	205	1127
154	205	1121
155	206	1115
156	206	1109
157	207	1103
158	207	1097
159	208	1092
160	208	1086
161	208	1080
162	209	1075
163	209	1069
164	210	1064
165	210	1059
166	211	1054
167	211	1048
168	212	1043
169	212	1038
170	213	1032
171	213	1027
172	213	1022
173	214	1017
174	214	1012
175	215	1007
176	215	1003
177	216	998
178	216	993
179	216	988
180	217	983
181	217	979
182	218	974
183	218	969
184	219	965
185	219	961
186	220	956
187	220	952
188	221	949
189	221	945
190	222	941
191	222	937
192	223	933
193	223	929
194	224	924
195	224	920
196	224	916
197	225	912
198	225	909
199	226	905
200	226	901
201	227	897
202	227	893
203	228	889
204	228	886
205	228	882
206	229	878
207	229	875
208	230	871
209	230	867
210	231	864
211	231	860
212	232	857
213	232	853
214	232	850
215	233	847
216	233	843
217	234	840
218	234	836
219	235	833
220	235	830
221	235	826
222	236	824
223	237	821
224	237	817
225	237	815
226	238	812
227	238	809
228	239	806
229	239	803
230	240	800
231	240	797
232	241	794
233	241	791
234	242	788
235	242	785
236	243	782
237	243	780
238	244	777
239	244	774
240	245	771
241	245	768
242	246	766
243	246	763
244	247	761
245	247	758
246	247	755
247	248	753
248	248	750
249	249	747
250	249	745
251	250	742
252	250	740
253	251	737
254	251	735
255	252	732
256	252	730
257	253	727
258	253	725
259	254	723
260	254	720
261	255	718
262	255	716
263	255	713
264	256	711
265	256	708
266	257	706
267	257	703
268	258	701
269	258	699
270	259	696
271	259	694
272	260	692
273	260	690
274	260	688
275	261	685
276	261	683
277	262	681
278	262	679
279	263	677
280	263	675
281	264	672
282	264	670
283	265	668
284	265	666
285	266	664
286	266	662
287	267	660
288	267	658
289	268	656
290	268	654
291	269	652
292	269	650
293	270	648
294	270	647
295	271	645
296	271	643
297	272	641
298	272	639
299	273	637
300	273	635
301	274	633
302	274	631
303	274	629
304	275	627
305	275	625
306	276	623
307	276	621
308	277	619
309	277	617
310	278	616
311	278	614
312	278	612
313	279	610
314	279	608
315	280	606
316	280	604
317	281	602
318	281	600
319	281	599
320	282	597
321	282	595
322	283	593
323	283	592
324	284	590
325	284	588
326	285	587
327	285	585
328	286	583
329	286	581
330	286	580
331	287	578
332	287	576
333	288	574
334	288	573
335	289	571
336	289	570
337	290	568
338	290	567
339	291	565
340	291	563
341	292	562
342	292	560
343	293	559
344	293	557
345	294	556
346	294	554
347	295	553
348	295	551
349	296	550
350	296	548
351	297	547
352	297	545
353	298	544
354	298	543
355	299	541
356	299	540
357	300	538
358	300	537
359	301	535
360	301	534
361	302	533
362	302	531
363	303	530
364	303	528
365	304	527
366	304	526
367	305	524
368	306	523
369	306	522
370	307	520
371	307	519
372	308	518
373	308	517
374	309	515
375	310	514
376	310	513
377	311	512
378	311	510
379	312	509
380	313	508
381	313	507
382	314	505
383	314	504
384	315	503
385	315	501
386	316	500
387	316	499
388	317	498
389	317	496
390	318	495
391	318	494
392	319	493
393	319	491
394	320	490
395	320	489
396	321	488
397	321	486
398	322	485
399	323	484
400	323	483
401	324	482
402	324	480
403	325	479
404	325	478
405	326	477
406	326	475
407	327	474
408	327	473
409	328	472
410	329	471
411	329	470
412	330	469
413	330	468
414	331	467
415	331	465
416	332	464
417	332	463
418	333	462
419	334	461
420	334	460
421	334	458
422	335	457
423	335	456
424	336	454
425	336	453
426	337	452
427	337	451
428	338	450
429	338	448
430	339	447
431	339	446
432	339	445
433	340	443
434	340	442
435	341	441
436	342	440
437	342	439
438	343	438
439	343	437
440	344	436
441	345	435
442	345	434
443	346	433
444	346	432
445	347	431
446	347	430
447	348	429
448	348	428
449	349	426
450	349	425
451	350	424
452	351	423
453	351	422
454	352	421
455	352	420
456	353	419
457	353	418
458	354	417
459	355	416
460	355	415
461	356	414
462	356	413
463	357	412
464	357	411
465	358	410
466	359	410
467	359	409
468	360	408
469	360	407
470	361	406
471	362	405
472	362	404
473	363	403
474	363	402
475	364	401
476	365	400
477	365	399
478	366	398
479	366	397
480	367	396
481	367	395
482	368	394
483	368	393
484	369	392
485	370	391
486	370	390
487	371	389
488	371	388
489	372	387
490	372	386
491	373	385
492	374	384
493	374	383
494	375	382
495	375	381
496	376	380
497	376	379
498	377	378
499	377	377
500	378	377
501	379	376
502	379	375
503	380	374
504	380	373
505	381	372
506	381	371
507	382	370
508	382	369
509	383	368
510	383	367
511	384	366
512	384	365
513	385	364
514	386	363
515	386	362
516	387	361
517	387	360
518	388	359
519	388	358
520	389	357
521	389	357
522	390	356
523	391	355
524	391	354
525	392	353
526	392	352
527	393	351
528	393	350
529	394	349
530	395	348
531	395	348
532	396	347
533	396	346
534	397	345
535	397	344
536	398	343
537	398	342
538	399	341
539	399	340
540	400	339
541	400	338
542	401	337
543	401	336
544	402	335
545	402	335
546	403	334
547	403	333
548	404	332
549	405	331
550	405	330
551	405	329
552	406	328
553	406	327
554	407	326
555	407	325
556	408	324
557	408	323
558	409	322
559	409	321
560	410	320
561	410	319
562	411	319
563	411	318
564	411	317
565	412	316
566	412	315
567	413	314
568	413	313
569	414	312
570	414	311
571	415	310
572	415	309
573	416	309
574	416	308
575	417	307
576	417	306
577	418	305
578	419	304
579	419	303
580	420	303
581	420	302
582	421	301
583	421	300
584	422	299
585	422	298
586	423	298
587	424	297
588	424	296
589	425	295
590	425	294
591	426	293
592	426	292
593	427	292
594	427	291
595	428	290
596	428	289
597	429	288
598	429	287
599	430	286
600	430	286
601	431	285
602	431	284
603	432	283
604	433	282
605	433	281
606	434	281
607	434	280
608	435	279
609	435	278
610	436	277
611	436	277
612	437	276
613	437	275
614	438	274
615	439	273
616	439	272
617	440	272
618	440	271
619	441	270
620	442	269
621	442	269
622	443	268
623	444	267
624	444	266
625	445	265
626	445	265
627	446	264
628	446	263
629	447	262
630	447	261
631	448	261
632	449	260
633	449	259
634	450	258
635	450	257
636	451	257
637	451	256
638	452	255
639	453	254
640	453	254
641	454	253
642	454	252
643	455	251
644	456	251
645	456	250
646	457	249
647	457	248
648	458	247
649	458	247
650	459	246
651	459	245
652	460	244
653	461	243
654	461	243
655	462	242
656	462	241
657	463	240
658	463	239
659	464	239
660	464	238
661	465	237
662	466	236
663	466	236
664	467	235
665	467	234
666	468	233
667	468	233
668	469	232
669	469	231
670	470	230
671	470	229
672	471	229
673	471	228
674	472	227
675	472	226
676	473	225
677	474	225
678	474	224
679	475	223
680	475	222
681	476	222
682	476	221
683	477	220
684	477	219
685	478	218
686	478	218
687	479	217
688	479	216
689	480	215
690	480	215
691	481	214
692	482	213
693	482	212
694	483	212
695	483	211
696	484	210
697	484	209
698	485	208
699	485	208
700	486	207
701	486	206
702	487	205
703	488	205
704	488	204
705	489	203
706	489	202
707	490	202
708	490	201
709	491	200
710	491	199
711	492	199
712	492	198
713	493	197
714	493	196
715	494	196
716	495	195
717	495	194
718	496	193
719	496	193
720	497	192
721	498	191
722	498	191
723	499	190
724	499	189
725	500	188
726	500	188
727	501	187
728	501	186
729	502	185
730	502	185
731	503	184
732	503	183
733	504	182
734	504	182
735	505	181
736	505	180
737	506	179
738	507	179
739	507	178
740	508	177
741	508	176
742	509	176
743	509	175
744	510	174
745	510	173
746	511	173
747	511	172
748	512	171
749	512	170
750	513	170
751	513	169
752	513	168
753	514	167
754	514	167
755	515	166
756	515	165
757	516	164
758	516	164
759	517	163
760	517	162
761	518	161
762	518	161
763	518	160
764	519	159
765	519	158
766	520	158
767	520	157
768	521	156
769	521	155
770	522	155
771	522	154
772	523	153
773	523	152
774	524	152
775	524	151
776	525	150
